Name,Uses,Description
Alpinia Galanga (Rasna),"It is used to treat various respiratory and digestive problems, such as asthma, bronchitis, cough, indigestion, piles, and flatulence.It is used to reduce inflammation, pain, and swelling in joints and muscles, especially in conditions like arthritis and gout.Alpinia Galanga (Rasna) reduce joint and muscle pain, improve male fertility, fight infections, prevent cancer, and enhance memory.","- Plant name: Alpinia Galanga is a plant in the ginger family that bears a rhizome used as an herb and a spice. It has many common names, such as greater galangal, lengkuas, and blue ginger.
- Scientific name: The scientific name of Alpinia Galanga is Alpinia galanga (L.) Willd. It is one of four plants known as ""galangal"".
- Family name: Alpinia Galanga belongs to the family Zingiberaceae, which includes other plants such as ginger, turmeric, and cardamom.
- About the leaf: The leaves of Alpinia Galanga are dark green, long and broad at the base and narrow at the tips. They resemble the shape of the tongue.
- Structure and features: Alpinia Galanga is a perennial herbaceous plant that can grow up to 3.5 m in height. It has creeping branches with a cluster of leaves. The rhizome of the plant is reddish or pale yellow in color and has a sweet spicy flavor and aromatic scent. The flowers of the plant are greenish white and about 3 cm long. The fruits of the plant are small cherries and reddish-orange in color .
- Location according to India: Alpinia Galanga is native to Indonesia and South Asia. It is also cultivated in Malaysia, Thailand, Sri Lanka, Myanmar, and other countries for its commercial and health benefits. In India, it is distributed in Himalayas, Bihar, Assam, and West Bengal. It grows in sunny areas with sufficient rainfall.
- Recipes according to India: Alpinia Galanga is a versatile ingredient used in Indian cuisine, such as in chutneys, curries, soups, and spice mixes. It imparts a zesty heat and a complementary note to other ingredients in recipes. Some examples of dishes that use Alpinia Galanga are:
- Rasna Tea: A drink from Ayurveda that consists of boiling rasna roots and leaves with peppercorns and honey. It is used to treat respiratory and digestive problems, inflammation, pain, and general debility.
- Rasna Chutney: A condiment from South India that consists of grinding rasna roots with coconut, tamarind, red chilies, garlic, salt, and mustard seeds. It is served with rice or dosa.
- Rasna Curry: A dish from North India that consists of cooking rasna roots with onion, tomato, ginger, garlic, turmeric, coriander, cumin, garam masala, salt, and water. It is served with roti or rice."
Amaranthus Viridis (Arive-Dantu),"It is used to treat various infections, such as helminthic, bacterial, fungal, and viral infections, as it has anthelmintic and antimicrobial properties.It is used to reduce inflammation, pain, and fever, as it has anti-inflammatory, analgesic, and antipyretic properties.Amaranthus Viridis (Arive-Dantu) treat respiratory, digestive, urinary, liver, eye, and gynecological disorders, diabetes, and mental decline. It is also a rich source of vitamins and minerals.","- Plant name: Amaranthus Viridis is a plant in the amaranth family that bears edible leaves and seeds. It has many common names, such as slender amaranth, green amaranth, wild amaranth, and note shak. 
- Scientific name: The scientific name of Amaranthus Viridis is Amaranthus viridis L. It is one of the many species of amaranths. 
- Family name: Amaranthus Viridis belongs to the family Amaranthaceae, which includes other plants such as spinach, beet, quinoa, and chenopodium. 
- About the leaf: The leaves of Amaranthus Viridis are dark green, ovate, 3-6 cm long, 2-4 cm wide, with long petioles of about 5 cm. They are deeply veined and have a smooth margin. 
- Structure and features: Amaranthus Viridis is an annual or short-lived perennial herb with stems erect or occasionally ascending, 10-80 cm long. Stems are sparingly to densely branched, channeled, and often reddish. The plant has terminal and axillary spikes with few branches, and small green flowers with 3 stamens. The fruits are achenes, 2 x 1 mm, ovoid, acute, membranous; seeds are biconvex, dark brown, shining with hexagonal epidermal cells. 
- Location according to India: Amaranthus Viridis is a cosmopolitan species that grows in tropical and subtropical regions of the world. It is widely distributed in India, especially in Assam, Bihar, West Bengal, Kerala, Tamil Nadu, Andhra Pradesh, and Maharashtra. It grows in sunny areas with sufficient rainfall and can be found as a weed in cultivated fields, gardens, roadsides, and waste places. 
- Recipes according to India: Amaranthus Viridis is eaten as a boiled green or as a vegetable in many parts of India. It is rich in protein, iron, calcium, zinc, vitamin C, and vitamin A. Some examples of dishes that use Amaranthus Viridis are: 

- Khuduna Khutoriya: A dish from Assam that consists of boiling the leaves and stems of Amaranthus Viridis with salt and turmeric. It is served with rice or roti. 
- Kuppacheera Thoran: A dish from Kerala that consists of stir-frying the chopped leaves of Amaranthus Viridis with coconut, mustard seeds, curry leaves, green chilies, garlic, and salt. It is served as a side dish with rice. 
- Kosila Saaga: A dish from Odisha that consists of cooking the leaves of Amaranthus Viridis with onion, garlic, ginger, tomato, turmeric, salt, and oil. It is served as a main dish with rice or roti. 
- Unadabhaji: A dish from Maharashtra that consists of saut-ing the leaves of Amaranthus Viridis with onion, garlic, cumin seeds, mustard seeds, asafoetida, red chili powder, salt, sugar, and lemon juice. It is served as a snack or a side dish with bread or roti."
Artocarpus Heterophyllus (Jackfruit),"Used to treat various infections, inflammation, pain, fever, respiratory, digestive, urinary, liver, eye, and gynecological disorders, diabetes, and mental decline.Used for making food products such as jam, jellies, marmalades, and ice creams.Health benefits include boosting immunity, improving digestion, preventing constipation, enhancing skin health, promoting wound healing, and providing vitamins and minerals.","- Plant name: Artocarpus Heterophyllus is a plant in the mulberry family that bears the largest fruit of all trees, reaching as much as 55 kg in weight, 90 cm in length, and 50 cm in diameter. It has many common names, such as jackfruit, jack tree, or nangka.
- Scientific name: The scientific name of Artocarpus Heterophyllus is Artocarpus heterophyllus Lam. It is one of the many species of Artocarpus, which includes other plants such as breadfruit and cempedak.
- Family name: Artocarpus Heterophyllus belongs to the family Moraceae, which includes other plants such as fig, mulberry, and osage orange.
- About the leaf: The leaves of Artocarpus Heterophyllus are dark green, glossy, somewhat leathery, oval on mature trees, sometimes oblong or deeply lobed on young shoots. They are about 9 inches long and have a smooth margin.
- Structure and features: Artocarpus Heterophyllus is an evergreen tree that has a relatively short trunk and dense treetop. It easily reaches heights of 30 to 70 feet and trunk diameters of 12 to 31 inches. It sometimes forms buttress roots. It has short, stout flowering twigs that emerge from the trunk and large branches, or even from the soil-covered base of very old trees. The male flowers are borne in oblong clusters 2 to 4 inches in length; the female flowers are elliptic or rounded. The fruit is a multiple fruit composed of hundreds to thousands of individual flowers, and the fleshy petals of the unripe fruit are eaten. The ripe fruit is sweet (depending on variety) and is commonly used in desserts. The seeds are smooth, oval, light-brown, covered by a thin white membrane.
- Location according to India: Artocarpus Heterophyllus is native to the rainforests of the Western Ghats in India. It is also widely cultivated throughout tropical regions of the world, including Bangladesh, Sri Lanka, and Southeast Asia. In India, it is grown in Assam, Bihar, West Bengal, Kerala, Tamil Nadu, Andhra Pradesh, Maharashtra, and other states. It grows in sunny areas with sufficient rainfall and can be found as a weed in cultivated fields, gardens, roadsides, and waste places.
- Recipes according to India: Artocarpus Heterophyllus is a versatile ingredient used in Indian cuisine, such as in curries, soups, snacks, and sweets. It is rich in protein, iron, calcium, zinc, vitamin C, and vitamin A. Some examples of dishes that use Artocarpus Heterophyllus are:

- Kathal ki Sabzi: A dish from North India that consists of cooking unripe jackfruit pieces with onion, tomato, ginger, garlic, spices, and oil. It is served as a main dish with roti or rice.
- Chakka Pradhaman: A dish from Kerala that consists of boiling ripe jackfruit pulp with jaggery and coconut milk. It is flavored with cardamom and garnished with cashew nuts and raisins. It is served as a dessert or a snack.
- Panasa Tarkari: A dish from Odisha that consists of cooking unripe jackfruit pieces with potato, brinjal (eggplant), tomato, onion, spices, and mustard oil. It is served as a side dish with rice or roti.
- Phanasachi Bhaji: A dish from Maharashtra that consists of stir-frying ripe jackfruit pieces with onion, green chilies, curry leaves, mustard seeds, turmeric powder, salt, sugar and lemon juice. It is served as a snack or a side dish with bread or roti."
Azadirachta Indica (Neem),"Used to treat various skin conditions, such as acne, eczema, psoriasis, scabies, and fungal infections.Used to treat dental problems, such as plaque, gingivitis, tooth decay, and bad breath.Used to treat parasitic infections, such as lice, worms, and malaria.Health benefits of neem include anti-inflammatory, anti-fungal, anti-aging, anti-cancer, and anti-stress properties. Neem also helps in yogic sadhana by purifying the body and enhancing the energy system.","- Plant name: Neem is the common name of the plant, which is also known as margosa, nimtree, or Indian lilac in English and other Indian languages. 
- Scientific name: The scientific name of neem is Azadirachta indica, which belongs to the genus Azadirachta and the family Meliaceae. 
- Family name: The family name of neem is Meliaceae, which is also known as the mahogany family. It comprises about 50 genera and 600 species of trees and shrubs, mostly tropical and subtropical. 
- About the leaf: The leaves of neem are opposite, pinnate, and 20-40 cm long, with 20 to 30 leaflets. The leaflets are 3-8 cm long, ovate-lanceolate, and serrate. The leaves are dark green on the upper surface and pale green on the lower surface. The leaves have a bitter taste and a garlic-like smell. 
- Structure and features: Neem is a fast-growing, evergreen, perennial tree that can reach a height of 15-20 metres, and rarely 35-40 m. It has a wide-spreading crown with dense foliage. The bark is brownish-gray, rough, and fissured. The flowers are small, white, fragrant, and arranged in drooping panicles. The fruits are oval or round drupes, yellow-green when ripe, with a thin skin, a fibrous pulp, and one to three seeds. The seeds contain neem oil, which has various medicinal and industrial uses. 
- Location according to India: Neem is native to the northeast of the Indian subcontinent, including India, Nepal, Pakistan, Bangladesh, and Sri Lanka. It is widely cultivated and naturalized in other tropical and subtropical regions of Asia, Africa, Australia, and America. In India, neem is found in almost all states and union territories, especially in dry and semi-arid regions. 
- Recipes (how to use in daily life) according to India: Neem has many uses and benefits in daily life, such as: 

- For health: Neem leaves can be boiled in water and used as a herbal tea to treat fever, cough, cold, diabetes, ulcers, malaria, and other ailments. Neem oil can be applied on the skin to treat wounds, infections, eczema, psoriasis, acne, and other skin problems. Neem twigs can be used as toothbrushes to clean the teeth and gums. Neem capsules or tablets can be taken as dietary supplements to boost immunity and prevent diseases. 
- For beauty: Neem leaves can be made into a paste and applied on the face as a mask to cleanse the pores, remove blackheads, and improve complexion. Neem oil can be mixed with coconut oil or other carrier oils and used as a hair oil to nourish the scalp, prevent dandruff, and promote hair growth. Neem powder can be added to shampoo or conditioner to enhance its antibacterial and antifungal properties. 
- For agriculture: Neem leaves can be used as a mulch or compost to enrich the soil and repel pests. Neem oil can be sprayed on crops or mixed with water and soap to make a natural insecticide that kills aphids, caterpillars, beetles, mites, and other harmful insects. Neem cake or pellets can be used as a fertilizer that also controls nematodes and fungi in the soil."
Basella Alba (Basale),"Basella Alba, also known as Basale, is a plant that belongs to the Basellaceae family.The leaves have a mild and slightly peppery flavor with a hint of citrus. The flowers are small, green or pink, and arranged in dense spikes that emerge from the stem or branches. The fruits are dark purple berries that contain red juice and small black seeds.","Basella Alba is used as a food source, a medicinal plant, and an ornamental plant. The leaves and stems are edible and rich in vitamins, minerals, antioxidants, and dietary fiber. They can be eaten raw in salads or cooked as a vegetable in soups, curries, stews, or stir-fries. They can also be used to thicken sauces and gravies due to their mucilaginous texture.Basella Alba has various medicinal properties and uses. It has laxative, diuretic, anti-inflammatory, antipyretic, and antidote effects. It is used to treat constipation, urinary infections, inflammation, pain, fever, bleeding, wounds, ulcers, skin diseases, respiratory problems, digestive disorders, and snake bites."
Brassica Juncea (Indian Mustard),"Brassica Juncea, also known as Indian Mustard or Chinese Mustard, the seeds are the main source of the condiment known as mustard. Brassica Juncea has many uses for food, medicine, and phytoremediation. The leaves and stems are edible and rich in vitamins, minerals, antioxidants, and dietary fiber. They can be eaten raw in salads or cooked as a vegetable in soups, curries, stews, or stir-fries. They can also be used to thicken sauces and gravies due to their mucilaginous texture.","The seeds are used to produce mustard oil, which is used for cooking, lighting, and lubrication. The oil has a strong flavor and aroma and is high in monounsaturated fatty acids. The seeds are also used to make mustard paste, powder, sauce, and vinegar. The mustard products are used as a condiment, a preservative, a flavoring agent, and a digestive stimulant. They have antibacterial, antifungal, anti-inflammatory, and anti-cancer effects.Brassica Juncea also has various medicinal properties and uses. It is used to treat various ailments such as digestive disorders, respiratory problems, skin diseases, inflammation, pain, fever, bleeding, wounds, ulcers, diabetes, cancer, and malaria."
Carissa Carandas (Karanda),"Carissa Carandas, also known as Karanda.It is a thorny shrub that produces small, berry-like fruits that are used as a condiment or a spice in Indian cuisine.The fruits have a sour and astringent taste and exude a white latex when cut. Carissa Carandas has many uses for food, medicine, and ornamental purposes. The fruits are edible and rich in iron, vitamin C, vitamin A, calcium, and phosphorus. They can be eaten raw or cooked as a vegetable, salad, soup, or curry.","They can also be used to make pickles, jams, jellies, sauces, and vinegar. They have antibacterial, antifungal, anti-inflammatory, and anti-cancer effects.The leaves, roots, bark, and latex of Carissa Carandas have various medicinal properties and uses. They are used to treat fever, diarrhea, earache, skin diseases, wounds, ulcers, digestive disorders, urinary problems, diabetes, malaria, and snake bites.Carissa Carandas is also used as an ornamental plant due to its attractive foliage and flowers. It can be grown as a hedge or a climber on trellises, fences, walls, or arbors. It prefers full sun to partial shade and moist but well-drained soil."
Citrus Limon (Lemon),"Lemon is a good source of vitamin C.It is used to treat scurvy,swine flu.Treating stomach upset and vomiting from pregnancy.",Plant Name:Lemon Scientific Name:Citrus LimonLemon (Citrus limon) Family Name:Rutaceae The leaves are aromatic green leaves that hold an intense citrus scent and feature sharply pointed tips and serrated edges along each side.contains high levels of citric acid. Lemon peel may have several antimicrobial and antifungal properties.It's leaves inhibits the growth of cancer cells.
Ficus Auriculata (Roxburgh fig),"Ficus auriculata, traditionally for the treatment of diabetes.","Root latex of the plant is used in mumps, cholera, diarrhea and vomiting.The leaf of Ficus auriculata is used for the treatment of diabetes.Fruit,root and bark of the plant are used to treat Jaundice."
Ficus Religiosa (Peepal Tree),Ficus Religiosa is used to treat asthama. It also lowers blood sugar levels.It also improves sexual potency.,"It's leaves are used to heal wounds due to cuts, it's roots has anti-ulcer and blood sugar lowering properties. Powdered fruit is taken for asthma.It's bark is used to improve the complexion and for vaginal and other urinogenital disorders,."
Hibiscus Rosa-sinensis,"The plant is known to be beneficial in treating wounds, inflammation, fever, coughs,hair loss, and gastric ulcers.",Leaves and flowers can be used as a hair growth promoter and to prevent premature graying and to treat scalp disorders.The decoction of root can be used to treat venereal diseases.
Jasminum (Jasmine),"It is used to treat corns and ear discharges, depression, nervous tension, impotence, frigidity, menstrual disorders and weak digestion.","Leaf juice is applied to corns and ear discharges.Essential oil is used in the treatment of depression, nervous tension, impotence, frigidity, menstrual disorders and weak digestion."
Mangifera Indica (Mango),Mangoes are used to relieve from heat strokes.,"The juice of the tree is a restorative tonic and can relieve heat strokes.The leaves are considered to be nutritious, hence they are used to make tea and supplements."
Mentha (Mint),"It is used to make peppermint,spearmint and wildmint.","Peppermint is used to manage digestive problems, nausea, headaches, and other health issues.Spearmint ican be used as insecticide.Wildmint helps in descending the menstrual blood."
Moringa Oleifera (Drumstick),Drumsticks increases the quality and quantity of sperms and strengthens the male reproductive system.,Drumstick fruit strengthens male reproductive system.Moringa is associated with a stronger immune system and lower the risk of diabetis and cancer.It also helps in weight loss.
Muntingia Calabura (Jamaica cherry ),The flowers are used as an antiseptic and to treat abdominal cramps and spasms. It is also taken to relieve headaches and colds. Muntingia calabura fruits possess antioxidant property.,The fruits are commonly called Jamaican cherry and are red in colour.
Murraya Koenigii(Curry),". It is extensively used in the treatment of anemia, diabetes, indigestion, obesity, kidney problems, hair and skin problems.","Shrub up to 2.5 m tall. Compound, odd-pinnate 30 cm-long leaves are composed of 11-21 shiny, dark green, lance-shaped leaflets (4.9 cm long, 1.8 cm wide)."
Nerium Oleander(Oleander),"Oleander has traditionally been used in the treatment of cardiac illness, asthma, diabetes mellitus, corns, scabies, cancer, and epilepsy, and in wound healing as an antibacterial/antimicrobial.",Oleander is an evergreen shrub with thick and pointy leaves arranged in pairs or whorls of 3 along the stem.
Nyctanthes Arbor-tristis (Parijata),It is used as a laxative for treating constipation and treat snake bytes. It helps in sclap recovery and hairfall treatment too.,"Grey-coloured, rough and flaky bark. Hairy and rough green leaves, decussately and simple, margin entire, measuring about 6 - 12 cm long and 2 - 6.5 cm wide."
Ocimum Tenuiflorum (Tulsi),"Tulsi has adaptogenic, cardio protective, analgesic, immune enhancing, anti-fertility, anticancer, and anti-diabetic, antifungal, anti-allergic, antimicrobial, antibacterial and antispasmodic actions.",t has an erect growth form which is highly branched. Leaves are broadly elliptical with a slightly toothed leaf margin
Piper Betle (Betel),"prevents halitosis, improves vocalization, and strengthens gum, treat indigestion, constipation, congestion, coughs and asthma.","Piper betle, known as Betel or Sireh is a climbing vine with glossy, heart-shaped leaves."
Plectranthus Amboinicus (Mexican Mint),"The leaves are strongly flavoured. The herb is used as a substitute for oregano to mask the strong odors and flavors of fish, mutton, and goat. Fresh leaves are used to scent laundry and hair. In the southern Indian state of Karnataka, it is batter fried to make pakodas.","A member of the mint family Lamiaceae, Coleus amboinicus grows up to 1 m (3.3 ft) tall. The stem is fleshy, about 30-90 cm (12-35 in), either with long rigid hairs (hispidly villous) or densely covered with soft, short and erect hairs (tomentose). Old stems are smooth (glabrescent).Leaves are 5-7 cm (2.0-2.8 in) by 4-6 cm (1.6-2.4 in), fleshy, undivided (simple), broad, egg/oval-shaped with a tapering tip (ovate). The margins are coarsely crenate to dentate-crenate except in the base. They are thickly studded with hairs (pubescent), with the lower surface possessing the most numerous glandular hairs, giving a frosted appearance. The petiole is 2-4.5 cm (0.79-1.77 in)."
Pongamia Pinnata (Pongame Oiltree),"Pongamia pinnata seeds generally contain oil (27-39%), protein (17-37%), starch (6-7%), crude fiber (5-7%), moisture (15-20%) and ash content (2-3%). Nearly half of the oil content of P. pinnata seeds is oleic acid. Oil made from the seeds, known as pongamia oil, has been used as lamp oil, in soapmaking, and as a lubricant. The oil has a high content of triglycerides, and its disagreeable taste and odor are due to bitter flavonoid constituents, including karanjin, pongamol, tannin, and karanjachromene.","Pongamia pinnata is a legume tree that grows to about 15-25 m (50-80 ft) in height with a large canopy that spreads equally wide. It may be deciduous for short periods. It has a straight or crooked trunk, 50-80 cm (20-30 in) in diameter, with grey-brown bark, which is smooth or vertically fissured. Its wood is white colored."
Psidium Guajava (Common Guava),"Psidium guajava has been used in traditional medicine by many cultures throughout Central America, the Caribbean, Africa, and Asia. It is used for inflammation, diabetes, hypertension, caries, wounds, pain relief, fever, diarrhea, rheumatism, lung diseases, and ulcers.","Widely cultivated in tropical and subtropical regions around the world, guava fruits can range in size from as small as an apricot to as large as a grapefruit. Various cultivars have white, pink, or red flesh; a few varieties feature red (instead of green or yellow) skin."
Punica Granatum (Pomegranate),"Pomegranate juice can be sweet or sour, but most fruits are moderate in taste, with sour notes from the acidic ellagitannins contained in the juice. Pomegranate juice has long been a popular drink in Europe and the Middle East, and is now widely distributed in the United States and Canada.","A shrub or small tree growing 5 to 10 m (16 to 33 ft) high, the pomegranate has multiple spiny branches and is long-lived, with some specimens in France surviving for 200 years. P. granatum leaves are opposite or subopposite, glossy, narrow oblong, entire, 3-7 cm (1+1?4-2+3?4 in) long and 2 cm (3?4 in) broad. The flowers are bright red and 3 cm (1+1?4 in) in diameter, with three to seven petals. Some fruitless varieties are grown for the flowers alone."
Santalum Album (Indian Sandalwood),"S. album has been the primary source of sandalwood and the derived oil. These often hold an important place within the societies of its naturalised distribution range. The central part of the tree, the heartwood, is the only part of the tree that is used for its fragrance. It is yellow-brown in color, hard with an oily texture and due to its durability, is the perfect material for carving. The outer part of the tree, the sapwood, is unscented. The sapwood is white or yellow in color and is used to make turnery items. The high value of sandalwood has led to attempts at cultivation, this has increased the distribution range of the plant.","Santalum album is an evergreen tree that grows between 4-9 metres (13-30 feet). The tree is variable in habit, usually upright to sprawling, and may intertwine with other species. The plant parasitises the roots of other tree species, with a haustorium adaptation on its own roots, but without major detriment to its hosts."
Syzygium Cumini (Java Pulm),"Raw fruit is 83% water, 16% carbohydrates, 1% protein, and contains negligible fat. In a 100 gram reference amount, the raw fruit provides 60 calories, a moderate content of vitamin C, and no other micronutrients in appreciable amounts","As a rapidly growing species, it can reach heights of up to 30 m (100 ft) and can live more than 100 years. Its dense foliage provides shade and is grown just for its ornamental value. At the base of the tree, the bark is rough and dark grey, becoming lighter grey and smoother higher up. The wood is water resistant after being kiln-dried."
Syzygium Jambos (Rose Apple),"Rich in vitamin C, the fruit can be eaten raw or cooked in various regional recipes. In South-East Asian countries, rose apple fruit is frequently served with spiced sugar. The wood is dense and accordingly is used as a source of charcoal. The tree is variously rich in tannins that are of some antimicrobial interest. Some parts of the tree are used in regional traditional medicine.","Syzygium jambos is a large shrub or small-to-medium-sized tree, typically 3 to 15 metres (10 to 49 feet) high, with a tendency to low branching. Its leaves and twigs are glabrous and the bark, though dark brown, is fairly smooth too, with little relief or texture. The leaves are lanceolate, 2 to 4 centimetres (3?4 to 1+5?8 inches) broad, 10 to 20 cm (4 to 8 in) long, pointed, base cuneate with hardly any petiole, lively red when growing, but dark, glossy green on attaining full size. The flowers are in small terminal clusters, white or greenish white, the long, numerous stamens giving them a diameter of 5-8 cm (2-3+1?4 in). In temperate regions the tree is summer-flowering."
Tabernaemontana Divaricata (Crape Jasmine),"The white five-petaled pinwheel flowers bloom in small clusters on the stem tips. When broken, the stem exudes a milky latex that is toxic. However, in prescribed quantities, parts of the plant are used to treat a variety of ailments. The root is used to treat hypertension, headaches, scabies, and toothaches.","The plant generally grows to a height of 1.5-1.8 metres (5-6 ft) and is dichotomously branched. The large shiny leaves are deep green and about 15 cm (6 in) in length and 5 cm (2 in) in width. The waxy blossoms are found in small clusters on the stem tips. The (single) flowers have the characteristic 'pinwheel' shape also seen in other genera in the family Apocynaceae such as Vinca and Nerium. Both single and double-flowered forms are cultivated, the flowers of both forms being white. The plant blooms in spring but flowers appear sporadically all year. The flowers have a pleasing fragrance."
Trigonella Foenum-graecum (Fenugreek),"Fenugreek is used as a herb (dried or fresh leaves), spice (seeds), and vegetable (fresh leaves, sprouts, and microgreens). Sotolon is the chemical responsible for the distinctive maple syrup smell of fenugreek.","In a 100 gram reference amount, fenugreek seeds provide 1,350 kilojoules (323 kcal) of food energy and contain 9% water, 58% carbohydrates, 23% protein, and 6% fat, with calcium at 40% of the Daily Value (DV, table). Fenugreek seeds (per 100 grams) are a rich source of protein (46% DV), dietary fiber, B vitamins, and dietary minerals, particularly manganese (59% DV) and iron (262% DV) (table)."
